nickName;firstName;lastName;gender;nationality;instagramLink;stravaLink;garminLink;bikeBrand;hillsScore;sprintScore;mountainScore;ittScore;gcScore;classicScore;downHillScore;cobblesScore;rankingPoint;weight;height;birth;team
Gil  Gelders;Gil; Gelders;male;Belgium;https://www.instagram.com/gilgelders/;https://www.strava.com/athletes/13775361;null;null;90;40;27;22;92;82;null;null;686;66;179;2002-12-16;Soudal Quick-Step
Jan  Hirt;Jan; Hirt;male;Czech Republic;https://www.instagram.com/janekecz;https://strava.com/athletes/jan_hirt;null;null;128;8;1636;30;1850;129;null;null;1689;62;181;1991-01-21;Israel - Premier Tech
Antoine  Huby;Antoine; Huby;male;France;https://www.instagram.com/antoinehuby/?hl=fr;https://www.strava.com/athletes/16047209?hl=fr-FR;null;null;48;18;58;26;94;45;null;null;904;56;174;2001-01-19;Soudal Quick-Step
James  Knox;James; Knox;male;Great Britain;https://www.instagram.com/james_knox4/;https://strava.com/athletes/2260636;null;null;354;10;798;52;1167;137;null;null;1817;58;173;1995-11-04;Soudal Quick-Step
Yves  Lampaert;Yves; Lampaert;male;Belgium;https://www.instagram.com/yveslampaert;https://www.strava.com/pros/2916067;null;null;1170;1034;183;2455;1441;3444;null;null;399;75;180;1991-04-10;Soudal Quick-Step
Luke  Lamperti;Luke; Lamperti;male;United States;https://www.instagram.com/lukelamperti/;https://www.strava.com/athletes/194742?hl=fr-FR;null;null;394;454;24;80;155;327;null;null;158;74;180;2002-12-31;Soudal Quick-Step
Mikel  Landa;Mikel; Landa;male;Spain;https://www.instagram.com/landameana/;null;null;null;1136;25;6863;298;6161;979;null;null;298;61;172;1989-12-13;Soudal Quick-Step
Paul  Magnier;Paul; Magnier;male;France;https://www.instagram.com/paul_magnier_/;https://www.strava.com/athletes/25788579;null;null;208;424;60;16;18;290;null;null;157;70;187;2004-04-14;Soudal Quick-Step
Fausto  Masnada;Fausto; Masnada;male;Italy;https://www.instagram.com/fausto_masnada/?hl=es;https://www.strava.com/athletes/12312263;null;null;548;20;1204;178;1556;700;null;null;1429;65;182;1993-11-06;XDS Astana Team
Tim  Merlier;Tim; Merlier;male;Belgium;https://www.instagram.com/merliertim/;https://www.strava.com/pros/5727288;null;null;462;4376;4;3;109;3731;null;null;201;76;188;1992-10-30;Soudal Quick-Step
Gianni  Moscon;Gianni; Moscon;male;Italy;https://www.instagram.com/giannimoscon;https://www.strava.com/athletes/gmoscon;null;null;760;230;822;606;937;1903;null;null;953;71;180;1994-04-20;Red Bull - BORA - hansgrohe
Casper  Pedersen;Casper; Pedersen;male;Denmark;https://www.instagram.com/pedersen_casper/;https://www.strava.com/athletes/17999372;null;null;223;210;81;302;457;450;null;null;692;71;186;1996-03-15;Soudal Quick-Step
Pepijn  Reinderink;Pepijn; Reinderink;male;Netherlands;https://www.instagram.com/pepijn_reinderink/?hl=fr;null;null;null;46;12;56;20;15;27;null;null;1207;67;180;2002-05-04;Soudal Quick-Step
Pieter  Serry;Pieter; Serry;male;Belgium;https://www.instagram.com/pieter_serry/;https://strava.com/athletes/pserry;null;null;678;82;566;230;844;1114;null;null;2738;66;186;1988-11-21;Soudal Quick-Step
Martin  Svrček;Martin; Svrček;male;Slovakia;https://www.instagram.com/sv_rtin/;https://www.strava.com/athletes/24807267;null;null;32;8;16;29;19;117;null;null;339;66;175;2003-02-17;Soudal Quick-Step
Warre  Vangheluwe;Warre; Vangheluwe;male;Belgium;https://www.instagram.com/warre_vangheluwe001/;https://www.strava.com/athletes/9136199;null;null;68;140;0;11;27;55;null;null;737;79;189;2001-07-23;Soudal Quick-Step
Mauri  Vansevenant;Mauri; Vansevenant;male;Belgium;https://www.instagram.com/maurivansevenant/;null;null;null;580;0;934;43;793;673;null;null;2138;60;175;1999-06-01;Soudal Quick-Step
Louis  Vervaeke;Louis; Vervaeke;male;Belgium;https://www.instagram.com/vervaeke.louis/;https://www.strava.com/pros/1123635;null;null;196;2;398;175;554;328;null;null;772;68;181;1993-10-06;Soudal Quick-Step
Jordi  Warlop;Jordi; Warlop;male;Belgium;https://www.instagram.com/jordiwarlop/;https://www.strava.com/pros/19342022;null;null;240;322;30;0;28;553;null;null;3089;71;182;1996-06-04;Soudal Quick-Step
Thymen  Arensman;Thymen; Arensman;male;Netherlands;https://www.instagram.com/thymenarensman/?hl=en;https://www.strava.com/athletes/1936233;null;null;456;23;1256;1235;1461;62;null;null;2051;68;192;1999-12-04;INEOS Grenadiers
Egan  Bernal;Egan; Bernal;male;Colombia;https://www.instagram.com/eganbernal/;https://www.strava.com/pros/2119306;null;null;1141;84;3848;566;4331;918;null;null;250;60;175;1997-01-13;INEOS Grenadiers
Jonathan  Castroviejo;Jonathan; Castroviejo;male;Spain;https://www.instagram.com/jonathancastroviejo;null;null;null;337;1;1070;4574;2066;263;null;null;1263;62;171;1987-04-27;INEOS Grenadiers
Laurens De Plus;Laurens;De Plus;male;Belgium;https://www.instagram.com/laurensdeplus/;null;null;null;492;6;940;392;1312;258;null;null;2036;67;190;1995-09-04;INEOS Grenadiers
Pauline  Ferrand-Prévot;Pauline; Ferrand-Prévot;male;France;https://www.instagram.com/paulineferrandprevot;https://www.strava.com/pros/pferrand-prevot;null;null;696;14;548;832;376;2945;null;null;81;53;165;1992-02-10;Team Visma | Lease a Bike
Tobias  Foss;Tobias; Foss;male;Norway;https://www.instagram.com/tobiassvendsenfoss/;https://www.strava.com/pros/2885876;null;null;286;10;446;1773;634;115;null;null;269;74;184;1997-05-25;INEOS Grenadiers
Omar  Fraile;Omar; Fraile;male;Spain;https://www.instagram.com/omar_fraile;https://www.strava.com/pros/2962663;null;null;648;37;976;169;665;373;null;null;1424;72;184;1990-07-17;INEOS Grenadiers
Filippo  Ganna;Filippo; Ganna;male;Italy;https://www.instagram.com/gannafilippo;https://www.strava.com/athletes/fganna;null;null;830;248;273;5562;791;579;null;null;319;83;193;1996-07-25;INEOS Grenadiers
Ethan  Hayter;Ethan; Hayter;male;Great Britain;https://www.instagram.com/ethanhayter/;https://www.strava.com/pros/601041;null;null;1498;306;703;1191;1297;650;null;null;774;70;180;1998-09-18;Soudal Quick-Step
Kim  Heiduk;Kim; Heiduk;male;Germany;https://www.instagram.com/kimheiduk/;https://www.strava.com/athletes/18403557?hl=fr-FR;null;null;112;116;8;75;122;108;null;null;860;70;184;2000-03-03;INEOS Grenadiers
Michał  Kwiatkowski;Michał; Kwiatkowski;male;Poland;https://www.instagram.com/kwiato/;http://www.strava.com/pros/1905161;null;null;3539;279;3300;3561;3665;4611;null;null;128;68;176;1990-06-02;INEOS Grenadiers
